   0.0   0.9999999960041972E-11   0.3078930603805929E-04   0.5930550396442413E-03   0.2070115634467129E-08   0.7513270247727633E-02   0.2503126161172986E-03   0.2038987353444099E-01   0.9999999960041972E-11
   3.3   0.1049889191784943E-10   0.3078973911792006E-04   0.5930549427970850E-03   0.3339135535102259E-07   0.7523943826475769E-02   0.2500639332056770E-03   0.2038965971932501E-01   0.9456933300027745E-08
   6.7   0.1524008710349377E-10   0.3079111306213067E-04   0.5930542501184572E-03   0.7888390682487532E-07   0.7527862914008234E-02   0.2497648823465272E-03   0.2038944533023999E-01   0.1856043559732397E-07
  10.0   0.2874613875236794E-10   0.3079290224999519E-04   0.5930530786225092E-03   0.1123491208927218E-06   0.7529637515179435E-02   0.2494452122593926E-03   0.2038923085808689E-01   0.2740157012122261E-07
  13.3   0.5404342948678410E-10   0.3079481407171261E-04   0.5930517001850549E-03   0.1331614729570780E-06   0.7530679982464726E-02   0.2491151391632861E-03   0.2038901650006531E-01   0.3602435999452187E-07
  16.7   0.9311997789160283E-10   0.3079674804579278E-04   0.5930503334499101E-03   0.1450978535649414E-06   0.7531441718381137E-02   0.2487787667981472E-03   0.2038880234452863E-01   0.4445364813596971E-07
  20.0   0.1473590811432561E-09   0.3079867347408678E-04   0.5930491249356177E-03   0.1515321006279193E-06   0.7532073970672316E-02   0.2484381030652037E-03   0.2038858843460942E-01   0.5270420633605977E-07
  23.3   0.2177391953440044E-09   0.3080058161362081E-04   0.5930481665326988E-03   0.1547287353390108E-06   0.7532632936102846E-02   0.2480943464491803E-03   0.2038837479285884E-01   0.6078549853849948E-07
  26.7   0.3049372282416537E-09   0.3080247026287046E-04   0.5930475145550914E-03   0.1560704734904090E-06   0.7533143526317127E-02   0.2477483188091739E-03   0.2038816143171450E-01   0.6870419267184317E-07
  30.0   0.4093977757397325E-09   0.3080433913399461E-04   0.5930472031231005E-03   0.1563668939586495E-06   0.7533619204453860E-02   0.2474006252286699E-03   0.2038794835826307E-01   0.7646545216646866E-07
  33.3   0.5313854252551995E-09   0.3080618845968241E-04   0.5930472526320616E-03   0.1560807230486675E-06   0.7534068576345840E-02   0.2470517256764613E-03   0.2038773557661352E-01   0.8407361085239145E-07
  36.7   0.6710266216006166E-09   0.3080801859046458E-04   0.5930476749965704E-03   0.1554734123152240E-06   0.7534497750848824E-02   0.2467019746997309E-03   0.2038752308916480E-01   0.9153253157101360E-07
  40.0   0.8283427132206345E-09   0.3080982988949279E-04   0.5930484768169172E-03   0.1546918005149424E-06   0.7534911291347648E-02   0.2463516471233636E-03   0.2038731089730253E-01   0.9884579431208956E-07
  43.3   0.1003275675655207E-08   0.3081162270955805E-04   0.5930496612963980E-03   0.1538180887008494E-06   0.7535312684320146E-02   0.2460009564663415E-03   0.2038709900179443E-01   0.1060167952681567E-06
  46.7   0.1195707963311448E-08   0.3081339739089196E-04   0.5930512294171807E-03   0.1528982052862201E-06   0.7535704619284275E-02   0.2456500687842379E-03   0.2038688740302072E-01   0.1130487993241228E-06
  50.0   0.1405477765703171E-08   0.3081515426306458E-04   0.5930531806754829E-03   0.1519577744412883E-06   0.7536089179640439E-02   0.2452991132860141E-03   0.2038667610111167E-01   0.1199449682084925E-06
  53.3   0.1632390712072016E-08   0.3081689364694269E-04   0.5930555135521555E-03   0.1510110676282047E-06   0.7536467982237229E-02   0.2449481905437363E-03   0.2038646509603180E-01   0.1267083759277817E-06
  56.7   0.1876228845590955E-08   0.3081861585603256E-04   0.5930582258217729E-03   0.1500660108804199E-06   0.7536842282850468E-02   0.2445973788618699E-03   0.2038625438763276E-01   0.1333420175590627E-06
  60.0   0.2136757498646088E-08   0.3082032119729808E-04   0.5930613147610041E-03   0.1491269831642203E-06   0.7537213057057048E-02   0.2442467392231635E-03   0.2038604397568751E-01   0.1398488145720271E-06
  63.3   0.2413730568509054E-08   0.3082200997164163E-04   0.5930647772928609E-03   0.1481963794658882E-06   0.7537581062815740E-02   0.2438963191403628E-03   0.2038583385991298E-01   0.1462316183441234E-06
  66.7   0.2706894543933226E-08   0.3082368247419121E-04   0.5930686100885195E-03   0.1472754837611696E-06   0.7537946888834586E-02   0.2435461556429872E-03   0.2038562403998556E-01   0.1524932127169182E-06
  70.0   0.3015991584045627E-08   0.3082533899448327E-04   0.5930728096408243E-03   0.1463649575697393E-06   0.7538310992158129E-02   0.2431962776021318E-03   0.2038541451555191E-01   0.1586363160517054E-06
  73.3   0.3340761865448618E-08   0.3082697981659243E-04   0.5930773723181564E-03   0.1454651131903361E-06   0.7538673727389407E-02   0.2428467075390400E-03   0.2038520528623677E-01   0.1646635830133141E-06
  76.7   0.3680945364689377E-08   0.3082860521923590E-04   0.5930822944044014E-03   0.1445760667033057E-06   0.7539035369414136E-02   0.2424974630315956E-03   0.2038499635164857E-01   0.1705776062007031E-06
  80.0   0.4036283205676469E-08   0.3083021547586716E-04   0.5930875721288833E-03   0.1436978238001311E-06   0.7539396131079766E-02   0.2421485578081984E-03   0.2038478771138362E-01   0.1763809176853854E-06
  83.3   0.4406518671858323E-08   0.3083181085476628E-04   0.5930932016889338E-03   0.1428303280467475E-06   0.7539756176953669E-02   0.2418000025985652E-03   0.2038457936502930E-01   0.1820759904885741E-06
  86.7   0.4791397960116533E-08   0.3083339161912968E-04   0.5930991792669875E-03   0.1419734881098222E-06   0.7540115634032249E-02   0.2414518057955200E-03   0.2038437131216640E-01   0.1876652400125202E-06
  90.0   0.5190670735738941E-08   0.3083495802716089E-04   0.5931055010435609E-03   0.1411271931808464E-06   0.7540474600077898E-02   0.2411039739698085E-03   0.2038416355237094E-01   0.1931510254337031E-06
  93.3   0.5604090534290289E-08   0.3083651033216224E-04   0.5931121632071132E-03   0.1402913217626618E-06   0.7540833150109948E-02   0.2407565122706182E-03   0.2038395608521558E-01   0.1985356510616509E-06
  96.7   0.6031415045753564E-08   0.3083804878262739E-04   0.5931191619615303E-03   0.1394657467106045E-06   0.7541191341458588E-02   0.2404094247372181E-03   0.2038374891027064E-01   0.2038213676652802E-06
 100.0   0.6472406308256945E-08   0.3083957362233418E-04   0.5931264935317921E-03   0.1386503381507995E-06   0.7541549217700136E-02   0.2400627145414764E-03   0.2038354202710500E-01   0.2090103737677711E-06
