   0.0   0.3745621143025346E-02   0.3394091618247330E-01   0.7296655676327646E+00   0.6290767341852188E+01   0.4423206672072411E+01   0.2510719560086727E+02   0.3363349421192652E-04   0.3671334525279235E-04
   3.3   0.3733401651538678E-02   0.3392105708502781E-01   0.7388089342798806E+00   0.2863324334019207E+01   0.7827522119094002E+01   0.1771371515809432E+02   0.6000702483206035E-05   0.1033233267123094E-03
   6.7   0.3719602941463243E-02   0.3389257257446750E-01   0.7483756831274057E+00   0.2077130717973299E+01   0.8592813668968667E+01   0.1175118397040317E+02   0.2668873151695515E-05   0.1065629654773877E-03
  10.0   0.3705369808882226E-02   0.3385913747006067E-01   0.7575350180780344E+00   0.1506782455275608E+01   0.9143920373346241E+01   0.7612623278880048E+01   0.1225005256812413E-05   0.1117104447966213E-03
  13.3   0.3690482747563359E-02   0.3382196512329863E-01   0.7666632834048640E+00   0.1064564184695381E+01   0.9568081222309534E+01   0.4855608859852840E+01   0.5783470183551483E-06   0.1186732454032326E-03
  16.7   0.3674817639318719E-02   0.3378190309129590E-01   0.7759747065701864E+00   0.7416828299276268E+00   0.9873729394951019E+01   0.3073714383187845E+01   0.3007735596724486E-06   0.1264286037255186E-03
  20.0   0.3658329082291293E-02   0.3373954786428304E-01   0.7855723789614345E+00   0.5182634225598042E+00   0.1008047164473874E+02   0.1947570353408304E+01   0.1919738530699826E-06   0.1345742722626422E-03
  23.3   0.3641007292497347E-02   0.3369529614744313E-01   0.7955062474850825E+00   0.3700780711334880E+00   0.1021233657761423E+02   0.1246038076644578E+01   0.1495902570449426E-06   0.1428774906138785E-03
  26.7   0.3622854796601287E-02   0.3364939709299241E-01   0.8058031540332293E+00   0.2745499022590632E+00   0.1029175244399068E+02   0.8121762956666466E+00   0.1343428611330867E-06   0.1512674933977937E-03
  30.0   0.3603875226114289E-02   0.3360199734582565E-01   0.8164812181172498E+00   0.2141412362449633E+00   0.1033614454125654E+02   0.5441343282949127E+00   0.1313837549130524E-06   0.1597968689659460E-03
  33.3   0.3584069752749844E-02   0.3355317616359464E-01   0.8275551478128920E+00   0.1765069798805411E+00   0.1035777134254018E+02   0.3779939843750023E+00   0.1336207352887989E-06   0.1684910819059261E-03
  36.7   0.3563437241396288E-02   0.3350297115327903E-01   0.8390374049191323E+00   0.1535083931303327E+00   0.1036470357943945E+02   0.2744361021562125E+00   0.1382178595322424E-06   0.1773643017036477E-03
  40.0   0.3541975447254659E-02   0.3345139538123319E-01   0.8509379688082762E+00   0.1398819039120172E+00   0.1036215064299188E+02   0.2095350457247985E+00   0.1440471369172593E-06   0.1864328132481824E-03
  43.3   0.3519682198504471E-02   0.3339844815832408E-01   0.8632638924723774E+00   0.1322780757599852E+00   0.1035341839006180E+02   0.1687263193259148E+00   0.1505932469385413E-06   0.1957014814429699E-03
  46.7   0.3496556329140329E-02   0.3334412165709367E-01   0.8760189440685733E+00   0.1285606486229074E+00   0.1034060794630833E+02   0.1430775379690729E+00   0.1576107067404165E-06   0.2051678638659732E-03
  50.0   0.3472598337195697E-02   0.3328840492144466E-01   0.8892034059298684E+00   0.1273601542460348E+00   0.1032506059774392E+02   0.1270474589862131E+00   0.1649736331221207E-06   0.2148245948631477E-03
  53.3   0.3447810836082672E-02   0.3323128631592282E-01   0.9028139962292130E+00   0.1277942047084927E+00   0.1030763643403248E+02   0.1171573833860631E+00   0.1726111741826045E-06   0.2246607451706315E-03
  56.7   0.3422198856904396E-02   0.3317275504299530E-01   0.9168438753979856E+00   0.1292916830993660E+00   0.1028888936728353E+02   0.1112013560240351E+00   0.1804791981329953E-06   0.2346627687171339E-03
  60.0   0.3395770041904208E-02   0.3311280209429759E-01   0.9312827099887108E+00   0.1314813415462153E+00   0.1026917792972262E+02   0.1077701367805573E+00   0.1885472956152147E-06   0.2448151805355751E-03
  63.3   0.3368534756016834E-02   0.3305142084928699E-01   0.9461167762671573E+00   0.1341206530575981E+00   0.1024873594556503E+02   0.1059590616673069E+00   0.1967924891130425E-06   0.2551010572308501E-03
  66.7   0.3340506134755749E-02   0.3298860744776278E-01   0.9613290926611732E+00   0.1370501225152849E+00   0.1022771783323534E+02   0.1051856824634209E+00   0.2051960153668109E-06   0.2655024190564658E-03
  70.0   0.3311700081029400E-02   0.3292436101270642E-01   0.9768995747210122E+00   0.1401638571399405E+00   0.1020622771112288E+02   0.1050744050476806E+00   0.2137415916469873E-06   0.2760005321410969E-03
  73.3   0.3282135219859850E-02   0.3285868377059368E-01   0.9928052090864640E+00   0.1433905879125498E+00   0.1018433809661301E+02   0.1053828361053386E+00   0.2224144416164272E-06   0.2865761565116366E-03
  76.7   0.3251832817696068E-02   0.3279158109886174E-01   0.1009020244599661E+01   0.1466814327067014E+00   0.1016210189407023E+02   0.1059544880047579E+00   0.2312007332130262E-06   0.2972097563164290E-03
  80.0   0.3220816671617898E-02   0.3272306151968483E-01   0.1025516399513779E+01   0.1500020152956137E+00   0.1013956004774316E+02   0.1066883110843162E+00   0.2400872517619783E-06   0.3078816825123332E-03
  83.3   0.3189112972901853E-02   0.3265313665283844E-01   0.1042263084000287E+01   0.1533273994217505E+00   0.1011674639328278E+02   0.1075190357167622E+00   0.2490612126122016E-06   0.3185723341737479E-03
