 0.0   0.9999999960041972E-08   0.3078930603805929E-01   0.5930552724748850E+00   0.7513270713388920E+01   0.2503182040527463E+00   0.2038987353444099E+02   0.9999999960041972E-08   0.2070115634467129E-05
 1.0   0.4143044863985211E-03   0.3094525938380305E-01   0.5977843865847274E+00   0.7246220308414816E+01   0.1875376259306830E-04   0.1985289176854286E+02   0.5210541756918696E-02   0.1844167766852092E-06
 2.0   0.5851949239512937E-03   0.2343826376801488E-01   0.6403817825280651E+00   0.8441575118788851E+01   0.9060658575527135E-05   0.1605933089773847E+02   0.3400661049382558E-02   0.2466361610279603E-06
 3.0   0.8907100653617989E-03   0.2106793667893086E-01   0.7442679421477280E+00   0.9598498256094850E+01   0.9603869794830711E-05   0.1371378225851142E+02   0.3034953338383165E-02   0.1977027763009651E-06
 4.0   0.1040613166289058E-02   0.2083275771753449E-01   0.7775190755675028E+00   0.1014343795488010E+02   0.1532595261755745E-03   0.1246519775518715E+02   0.2578929372982871E-02   0.1901145838525467E-06
 5.0   0.8222887599974332E-03   0.2020471430046341E-01   0.8425620059354034E+00   0.1028647282388119E+02   0.6713042008934379E+00   0.1236384361547724E+02   0.2043187807532853E-03   0.5168110599559343E-05
 6.0   0.8735804787642933E-03   0.1954967288708291E-01   0.7363869318184210E+00   0.8294453002894624E+01   0.3299697834690181E+01   0.1354778989306898E+02   0.2270380166833785E-04   0.5988275060665175E-05
 7.0   0.8339021319890967E-03   0.1819478954588406E-01   0.6992168576282217E+00   0.6949049889414455E+01   0.5964456238387359E+01   0.1370584773415274E+02   0.1055476847204947E-04   0.1157767776951027E-04
 8.0   0.7580726547278677E-03   0.1643357128323381E-01   0.7544965049456044E+00   0.7437696425269512E+01   0.1035954201761625E+02   0.1254918135984248E+02   0.6155454317282346E-05   0.1825922434077557E-04
 9.0   0.7707045482608641E-03   0.2171799273508908E-01   0.8598450963658896E+00   0.7702647378722960E+01   0.1155658540230328E+02   0.1431235070723764E+02   0.6893261730637023E-05   0.2651262559470685E-04
10.0   0.7066454411602954E-03   0.2354580632937823E-01   0.8425429954142377E+00   0.7089004631968671E+01   0.9527475789507701E+01   0.1773932241807100E+02   0.1002965875304150E-04   0.3957198858222617E-04
11.0   0.6084851197329182E-03   0.2170970558414055E-01   0.8039015600888434E+00   0.6150285586896999E+01   0.6803787441475240E+01   0.2254550761397752E+02   0.1592367682990653E-04   0.5665510680074472E-04
12.0   0.1026980301905682E-02   0.2353252055192304E-01   0.8150856188307902E+00   0.5792458276578356E+01   0.5708470606687282E+01   0.2527103908424939E+02   0.2056123609548551E-04   0.6842910519254514E-04
13.0   0.3443246270205233E-02   0.3331064230398424E-01   0.8053817770887995E+00   0.5407896614358074E+01   0.4707311559707189E+01   0.2735102671196024E+02   0.2561896097880374E-04   0.7232216426618868E-04
14.0   0.6772465619050798E-02   0.4730217807756876E-01   0.7666963283568620E+00   0.5040822665316941E+01   0.3878759032134996E+01   0.2823419278624449E+02   0.3005045661288827E-04   0.6581567898980762E-04
15.0   0.5091723568734976E-02   0.4663359788497825E-01   0.7652806373408332E+00   0.5527299674350212E+01   0.4104552046498526E+01   0.2526748513971881E+02   0.2793266322546589E-04   0.4673332213007748E-04
16.0   0.4606934462592934E-02   0.6453891580353439E-01   0.7522578596006795E+00   0.6043388306617980E+01   0.3532752727342228E+01   0.2467202183676957E+02   0.3491261860267395E-04   0.2996881391670423E-04
17.0   0.2378693656954854E-02   0.6455565905171028E-01   0.7859899446144655E+00   0.8458925887973065E+01   0.3802184502485419E+01   0.2063216021727236E+02   0.3825448537292261E-04   0.1527587767377922E-04
18.0   0.1626620104459473E-02   0.6491715022824612E-01   0.8295936198750626E+00   0.1309544265750864E+02   0.3657042575199306E+01   0.1422184918754621E+02   0.4238151202648644E-04   0.6897205625575177E-05
19.0   0.2518468425867003E-02   0.7972653641798155E-01   0.8709962867062866E+00   0.1930390412429158E+02   0.1313727463609042E+01   0.8109250222930553E+01   0.9143547407116760E-04   0.2196515962172340E-05
20.0   0.4287076627429589E-02   0.9020352891606194E-01   0.9678221427467121E+00   0.2479471089682883E+02   0.2116966876296298E-01   0.3864834986402777E+01   0.3407938742705373E-03   0.3091274578099586E-06
21.0   0.6135419246099946E-02   0.9787481901684789E-01   0.1063993539553123E+01   0.2657155084972961E+02   0.6295011096692035E-02   0.2662069091645684E+01   0.2994119085521461E-03   0.1793258561230912E-06
22.0   0.7374054838282844E-02   0.9821022759370249E-01   0.1127247392253506E+01   0.2629312304139009E+02   0.1142864817370698E-01   0.2398246042197429E+01   0.2732537655139253E-03   0.1672066863940189E-06
23.0   0.7882479283117371E-02   0.9404652316429286E-01   0.1144594180543722E+01   0.2497898024176106E+02   0.6030359487737289E-02   0.2594145355989256E+01   0.3192542040360209E-03   0.1553610519949919E-06
24.0   0.8784400373976743E-02   0.9187220288855172E-01   0.1104452040105793E+01   0.2311848094688153E+02   0.2783528695641455E-03   0.3258922134941435E+01   0.4652940242250527E-03   0.1560353438907552E-06
